General Statistics: 
Mean: 456.2
Max: 788
Min: 89
Contig                Length
>R000001        473
>R000002        442
>R000003        437
>R000004        479
>R000005        483
>R000006        446
>R000007        456
>R000008        544
>R000009        396
>R000010        509
>R000011        431
>R000012        317
>R000013        427
>R000014        511
>R000015        494
>R000016        425
>R000017        505
>R000018        276
>R000019        497
>R000020        422
>R000021        489
>R000022        485
>R000023        447
>R000024        519
>R000025        593
>R000026        465
>R000027        443
>R000028        499
>R000029        414
>R000030        468
>R000031        473
>R000032        304
>R000033        501
>R000034        388
>R000035        439
>R000036        471
>R000037        466
>R000038        514
>R000039        444
>R000040        445
>R000041        445
>R000042        281
>R000043        439
>R000044        508
>R000045        400
>R000046        486
>R000047        418
>R000048        506
>R000049        485
>R000050        317
>R000051        456
>R000052        507
>R000053        524
>R000054        473
>R000055        449
>R000056        582
>R000057        494
>R000058        370
>R000059        486
>R000060        420
>R000061        499
>R000062        557
>R000063        483
>R000064        444
>R000065        523
>R000066        472
>R000067        475
>R000068        482
>R000069        505
>R000070        468
>R000071        394
>R000072        478
>R000073        441
>R000074        302
>R000075        532
>R000076        483
>R000077        522
>R000078        317
>R000079        368
>R000080        556
>R000081        435
>R000082        503
>R000083        428
>R000084        492
>R000085        455
>R000086        258
>R000088        456
>R000089        514
>R000090        427
>R000091        468
>R000092        513
>R000093        380
>R000094        436
>R000095        447
>R000096        459
>R000097        507
>R000098        458
>R000099        496
>R000100        485
>R000101        484
>R000102        375
>R000103        605
>R000104        467
>R000105        434
>R000106        511
>R000107        413
>R000108        439
>R000109        535
>R000110        550
>R000111        453
>R000112        594
>R000113        529
>R000114        379
>R000115        592
>R000116        440
>R000117        522
>R000118        509
>R000119        452
>R000120        487
>R000121        89
>R000122        434
>R000123        361
>R000124        310
>R000125        489
>R000126        455
>R000127        450
>R000128        537
>R000129        405
>R000130        322
>R000131        477
>R000132        415
>R000133        454
>R000134        414
>R000135        512
>R000136        484
>R000137        443
>R000138        558
>R000139        382
>R000140        410
>R000141        376
>R000142        384
>R000143        477
>R000144        447
>R000145        421
>R000146        451
>R000147        310
>R000148        491
>R000149        509
>R000150        316
>R000151        383
>R000152        513
>R000153        408
>R000154        375
>R000155        580
>R000156        476
>R000157        356
>R000158        519
>R000159        465
>R000160        448
>R000161        469
>R000162        425
>R000163        518
>R000164        505
>R000165        479
>R000166        427
>R000167        497
>R000168        535
>R000169        426
>R000170        468
>R000171        604
>R000172        367
>R000173        427
>R000174        423
>R000175        485
>R000176        455
>R000177        505
>R000178        454
>R000179        491
>R000180        521
>R000181        529
>R000182        518
>R000183        498
>R000184        395
>R000185        461
>R000186        511
>R000187        423
>R000188        481
>R000189        472
>R000190        536
>R000191        448
>R000192        483
>R000193        335
>R000194        480
>R000195        431
>R000196        421
>R000197        513
>R000198        503
>R000199        501
>R000201        426
>R000202        368
>R000203        459
>R000204        461
>R000205        471
>R000206        395
>R000207        511
>R000208        531
>R000209        466
>R000210        414
>R000211        339
>R000212        388
>R000213        472
>R000214        392
>R000215        534
>R000216        419
>R000217        532
>R000218        536
>R000219        243
>R000220        435
>R000221        362
>R000222        423
>R000223        413
>R000224        448
>R000225        473
>R000226        498
